Tipo Titulo;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro Selic;01/03/2029;11/02/2025;18,6094;18,7294;2.347,45;2.345,10;2.347,45
Tesouro Selic;01/03/2029;12/02/2025;18,4797;18,5997;2.334,64;2.332,30;2.334,64
Tesouro Selic;01/03/2029;13/02/2025;18,4083;18,5283;2.327,62;2.325,29;2.327,62
Tesouro Selic;01/03/2029;14/02/2025;18,2703;18,3903;2.314,08;2.311,77;2.314,08
Tesouro Selic;01/03/2029;17/02/2025;18,1384;18,2584;2.301,21;2.298,91;2.301,21
Tesouro Selic;01/03/2029;18/02/2025;18,2252;18,3452;2.309,67;2.307,36;2.309,67
Tesouro Selic;01/03/2029;19/02/2025;18,2272;18,3472;2.309,87;2.307,56;2.309,87
Tesouro Selic;01/03/2029;20/02/2025;18,2658;18,3858;2.313,64;2.311,32;2.313,64
Tesouro Selic;01/03/2029;21/02/2025;18,2661;18,3861;2.313,67;2.311,36;2.313,67
Tesouro Selic;01/03/2029;24/02/2025;18,2407;18,3607;2.311,19;2.308,88;2.311,19
Tesouro Selic;01/03/2029;25/02/2025;18,3013;18,4213;2.317,11;2.314,79;2.317,11
Tesouro Selic;01/03/2029;26/02/2025;18,1760;18,2960;2.304,87;2.302,56;2.304,87
Tesouro Selic;01/03/2029;27/02/2025;18,1870;18,3070;2.305,94;2.303,63;2.305,94
Tesouro Selic;01/03/2029;28/02/2025;18,2218;18,3418;2.309,34;2.307,03;2.309,34
Tesouro Selic;01/03/2029;03/03/2025;18,1550;18,2750;2.302,82;2.300,52;2.302,82
Tesouro Selic;01/03/2029;04/03/2025;18,0980;18,2180;2.297,27;2.294,98;2.297,27
Tesouro Selic;01/03/2029;05/03/2025;18,1014;18,2214;2.297,60;2.295,30;2.297,60
Tesouro Selic;01/03/2029;06/03/2025;18,0123;18,1323;2.288,95;2.286,67;2.288,95
Tesouro Selic;01/03/2029;07/03/2025;18,1048;18,2248;2.297,93;2.295,63;2.297,93
Tesouro Selic;01/03/2029;10/03/2025;18,1157;18,2357;2.298,99;2.296,69;2.298,99
Tesouro Selic;01/03/2029;11/03/2025;18,0829;18,2029;2.295,80;2.293,51;2.295,80
Tesouro Selic;01/03/2029;12/03/2025;18,1232;18,2432;2.299,72;2.297,42;2.299,72
Tesouro Selic;01/03/2029;13/03/2025;18,2235;18,3435;2.309,51;2.307,20;2.309,51
Tesouro Selic;01/03/2029;14/03/2025;18,2779;18,3979;2.314,82;2.312,51;2.314,82
Tesouro Selic;01/03/2029;17/03/2025;18,1477;18,2677;2.302,11;2.299,81;2.302,11
Tesouro Selic;01/03/2029;18/03/2025;18,2073;18,3273;2.307,92;2.305,62;2.307,92
Tesouro Selic;01/03/2029;19/03/2025;18,2763;18,3963;2.314,67;2.312,35;2.314,67
Tesouro Selic;01/03/2029;20/03/2025;18,3802;18,5002;2.324,85;2.322,53;2.324,85
Tesouro Selic;01/03/2029;21/03/2025;18,2476;18,3676;2.311,86;2.309,55;2.311,86
Tesouro Selic;01/03/2029;24/03/2025;18,1235;18,2435;2.299,75;2.297,45;2.299,75
Tesouro Selic;01/03/2029;25/03/2025;18,1038;18,2238;2.297,84;2.295,54;2.297,84
Tesouro Selic;01/03/2029;26/03/2025;18,0898;18,2098;2.296,48;2.294,18;2.296,48
Tesouro Selic;01/03/2029;27/03/2025;18,1225;18,2425;2.299,65;2.297,35;2.299,65
Tesouro Selic;01/03/2029;28/03/2025;18,0653;18,1853;2.294,09;2.291,80;2.294,09
Tesouro Selic;01/03/2029;31/03/2025;18,1378;18,2578;2.301,14;2.298,84;2.301,14
Tesouro Selic;01/03/2029;01/04/2025;18,2100;18,3300;2.308,18;2.305,88;2.308,18
Tesouro Selic;01/03/2029;02/04/2025;18,0958;18,2158;2.297,06;2.294,76;2.297,06
Tesouro Selic;01/03/2029;03/04/2025;18,1582;18,2782;2.303,13;2.300,83;2.303,13
Tesouro Selic;01/03/2029;04/04/2025;18,2186;18,3386;2.309,03;2.306,72;2.309,03
Tesouro Selic;01/03/2029;07/04/2025;18,1178;18,2378;2.299,20;2.296,90;2.299,20
Tesouro Selic;01/03/2029;08/04/2025;18,2537;18,3737;2.312,45;2.310,14;2.312,45
Tesouro Selic;01/03/2029;09/04/2025;18,2606;18,3806;2.313,13;2.310,82;2.313,13
Tesouro Selic;01/03/2029;10/04/2025;18,3455;18,4655;2.321,44;2.319,12;2.321,44
Tesouro Selic;01/03/2029;11/04/2025;18,4117;18,5317;2.327,95;2.325,62;2.327,95
Tesouro Selic;01/03/2029;14/04/2025;18,3118;18,4318;2.318,14;2.315,82;2.318,14
Tesouro Selic;01/03/2029;15/04/2025;18,1999;18,3199;2.307,20;2.304,89;2.307,20
Tesouro Selic;01/03/2029;16/04/2025;18,2842;18,4042;2.315,44;2.313,13;2.315,44
Tesouro Selic;01/03/2029;17/04/2025;18,2148;18,3348;2.308,66;2.306,35;2.308,66
Tesouro Selic;01/03/2029;18/04/2025;18,3308;18,4508;2.320,00;2.317,68;2.320,00
Tesouro Selic;01/03/2029;21/04/2025;18,4122;18,5322;2.327,99;2.325,67;2.327,99
Tesouro Selic;01/03/2029;22/04/2025;18,2710;18,3910;2.314,15;2.311,83;2.314,15
Tesouro Selic;01/03/2029;23/04/2025;18,3631;18,4831;2.323,18;2.320,85;2.323,18
Tesouro Selic;01/03/2029;24/04/2025;18,2947;18,4147;2.316,47;2.314,15;2.316,47
Tesouro Selic;01/03/2029;25/04/2025;18,1639;18,2839;2.303,69;2.301,38;2.303,69
Tesouro Selic;01/03/2029;28/04/2025;18,2276;18,3476;2.309,90;2.307,59;2.309,90
Tesouro Selic;01/03/2029;29/04/2025;18,2506;18,3706;2.312,15;2.309,84;2.312,15
Tesouro Selic;01/03/2029;30/04/2025;18,1237;18,2437;2.299,77;2.297,47;2.299,77
Tesouro Selic;01/03/2029;01/05/2025;18,1102;18,2302;2.298,47;2.296,17;2.298,47
Tesouro Selic;01/03/2029;02/05/2025;18,0683;18,1883;2.294,38;2.292,09;2.294,38
Tesouro Selic;01/03/2029;05/05/2025;18,0682;18,1882;2.294,37;2.292,08;2.294,37
Tesouro Selic;01/03/2029;06/05/2025;18,0882;18,2082;2.296,32;2.294,03;2.296,32
Tesouro Selic;01/03/2029;07/05/2025;18,0485;18,1685;2.292,47;2.290,17;2.292,47
Tesouro Selic;01/03/2029;08/05/2025;17,9751;18,0951;2.285,34;2.283,06;2.285,34
Tesouro Selic;01/03/2029;09/05/2025;17,8559;17,9759;2.273,83;2.271,55;2.273,83
Tesouro Selic;01/03/2029;12/05/2025;17,8781;17,9981;2.275,97;2.273,69;2.275,97
Tesouro Selic;01/03/2029;13/05/2025;17,9450;18,0650;2.282,43;2.280,14;2.282,43
Tesouro Selic;01/03/2029;14/05/2025;17,8635;17,9835;2.274,55;2.272,28;2.274,55
Tesouro Selic;01/03/2029;15/05/2025;17,8661;17,9861;2.274,81;2.272,53;2.274,81
Tesouro Selic;01/03/2029;16/05/2025;17,7293;17,8493;2.261,64;2.259,38;2.261,64
Tesouro Selic;01/03/2029;19/05/2025;17,8382;17,9582;2.272,12;2.269,85;2.272,12
Tesouro Selic;01/03/2029;20/05/2025;17,7616;17,8816;2.264,74;2.262,47;2.264,74
Tesouro Selic;01/03/2029;21/05/2025;17,7531;17,8731;2.263,92;2.261,66;2.263,92
Tesouro Selic;01/03/2029;22/05/2025;17,7180;17,8380;2.260,55;2.258,29;2.260,55
Tesouro Selic;01/03/2029;23/05/2025;17,6130;17,7330;2.250,49;2.248,24;2.250,49
Tesouro Selic;01/03/2029;26/05/2025;17,7424;17,8624;2.262,89;2.260,63;2.262,89
Tesouro Selic;01/03/2029;27/05/2025;17,8496;17,9696;2.273,22;2.270,94;2.273,22
Tesouro Selic;01/03/2029;28/05/2025;17,8655;17,9855;2.274,75;2.272,47;2.274,75
Tesouro Selic;01/03/2029;29/05/2025;17,9897;18,1097;2.286,76;2.284,47;2.286,76
Tesouro Selic;01/03/2029;30/05/2025;18,0619;18,1819;2.293,76;2.291,47;2.293,76
Tesouro Selic;01/03/2029;02/06/2025;18,0377;18,1577;2.291,41;2.289,12;2.291,41
Tesouro Selic;01/03/2029;03/06/2025;17,9842;18,1042;2.286,23;2.283,94;2.286,23
Tesouro Selic;01/03/2029;04/06/2025;17,9591;18,0791;2.283,79;2.281,51;2.283,79
Tesouro Selic;01/03/2029;05/06/2025;18,0252;18,1452;2.290,20;2.287,91;2.290,20
Tesouro Selic;01/03/2029;06/06/2025;17,9566;18,0766;2.283,55;2.281,27;2.283,55
Tesouro Selic;01/03/2029;09/06/2025;17,8299;17,9499;2.271,32;2.269,05;2.271,32
Tesouro Selic;01/03/2029;10/06/2025;17,7918;17,9118;2.267,64;2.265,38;2.267,64
Tesouro Selic;01/03/2029;11/06/2025;17,7924;17,9124;2.267,70;2.265,43;2.267,70
Tesouro Selic;01/03/2029;12/06/2025;17,9130;18,0330;2.279,33;2.277,05;2.279,33
Tesouro Selic;01/03/2029;13/06/2025;17,8168;17,9368;2.270,05;2.267,78;2.270,05
Tesouro Selic;01/03/2029;16/06/2025;17,9081;18,0281;2.278,86;2.276,58;2.278,86
Tesouro Selic;01/03/2029;17/06/2025;18,0525;18,1725;2.292,85;2.290,56;2.292,85
Tesouro Selic;01/03/2029;18/06/2025;18,1887;18,3087;2.306,11;2.303,80;2.306,11
Tesouro Selic;01/03/2029;19/06/2025;18,0594;18,1794;2.293,52;2.291,23;2.293,52
Tesouro Selic;01/03/2029;20/06/2025;18,0489;18,1689;2.292,50;2.290,21;2.292,50
Tesouro Selic;01/03/2029;23/06/2025;17,9836;18,1036;2.286,17;2.283,88;2.286,17
Tesouro Selic;01/03/2029;24/06/2025;18,0871;18,2071;2.296,21;2.293,91;2.296,21
Tesouro Selic;01/03/2029;25/06/2025;18,0353;18,1553;2.291,18;2.288,89;2.291,18
Tesouro Selic;01/03/2029;26/06/2025;18,0512;18,1712;2.292,72;2.290,43;2.292,72
Tesouro Selic;01/03/2029;27/06/2025;17,9036;18,0236;2.278,43;2.276,15;2.278,43
Tesouro Selic;01/03/2029;30/06/2025;17,8138;17,9338;2.269,76;2.267,49;2.269,76
Tesouro Selic;01/03/2029;01/07/2025;17,8329;17,9529;2.271,61;2.269,34;2.271,61
Tesouro Selic;01/03/2029;02/07/2025;17,7741;17,8941;2.265,94;2.263,68;2.265,94
Tesouro Selic;01/03/2029;03/07/2025;17,8109;17,9309;2.269,49;2.267,22;2.269,49
Tesouro Selic;01/03/2029;04/07/2025;17,8001;17,9201;2.268,44;2.266,18;2.268,44
Tesouro Selic;01/03/2029;07/07/2025;17,8276;17,9476;2.271,09;2.268,82;2.271,09
Tesouro Selic;01/03/2029;08/07/2025;17,8256;17,9456;2.270,90;2.268,63;2.270,90
Tesouro Selic;01/03/2029;09/07/2025;17,9074;18,0274;2.278,79;2.276,51;2.278,79
Tesouro Selic;01/03/2029;10/07/2025;17,8160;17,9360;2.269,98;2.267,71;2.269,98
Tesouro Selic;01/03/2029;11/07/2025;17,9361;18,0561;2.281,57;2.279,29;2.281,57
Tesouro Selic;01/03/2029;14/07/2025;18,0143;18,1343;2.289,14;2.286,85;2.289,14
Tesouro Selic;01/03/2029;15/07/2025;17,9378;18,0578;2.281,74;2.279,46;2.281,74
Tesouro Selic;01/03/2029;16/07/2025;17,7897;17,9097;2.267,45;2.265,18;2.267,45
Tesouro Selic;01/03/2029;17/07/2025;17,7627;17,8827;2.264,85;2.262,59;2.264,85
Tesouro Selic;01/03/2029;18/07/2025;17,6826;17,8026;2.257,16;2.254,90;2.257,16
Tesouro Selic;01/03/2029;21/07/2025;17,6366;17,7566;2.252,74;2.250,49;2.252,74
Tesouro Selic;01/03/2029;22/07/2025;17,7384;17,8584;2.262,52;2.260,25;2.262,52
Tesouro Selic;01/03/2029;23/07/2025;17,8516;17,9716;2.273,41;2.271,14;2.273,41
Tesouro Selic;01/03/2029;24/07/2025;17,9869;18,1069;2.286,49;2.284,20;2.286,49
Tesouro Selic;01/03/2029;25/07/2025;17,8373;17,9573;2.272,03;2.269,76;2.272,03
Tesouro Selic;01/03/2029;28/07/2025;17,8845;18,0045;2.276,59;2.274,31;2.276,59
Tesouro Selic;01/03/2029;29/07/2025;17,9892;18,1092;2.286,71;2.284,43;2.286,71
Tesouro Selic;01/03/2029;30/07/2025;18,0574;18,1774;2.293,33;2.291,03;2.293,33
Tesouro Selic;01/03/2029;31/07/2025;17,9386;18,0586;2.281,81;2.279,53;2.281,81
Tesouro Selic;01/03/2029;01/08/2025;17,9475;18,0675;2.282,68;2.280,39;2.282,68
Tesouro Selic;01/03/2029;04/08/2025;17,8690;17,9890;2.275,08;2.272,81;2.275,08
Tesouro Selic;01/03/2029;05/08/2025;17,8666;17,9866;2.274,85;2.272,58;2.274,85
Tesouro Selic;01/03/2029;06/08/2025;17,7346;17,8546;2.262,14;2.259,88;2.262,14
Tesouro Selic;01/03/2029;07/08/2025;17,8836;18,0036;2.276,50;2.274,22;2.276,50
Tesouro Selic;01/03/2029;08/08/2025;17,9471;18,0671;2.282,64;2.280,36;2.282,64
Tesouro Selic;01/03/2029;11/08/2025;17,8250;17,9450;2.270,85;2.268,58;2.270,85
Tesouro Selic;01/03/2029;12/08/2025;17,9514;18,0714;2.283,05;2.280,77;2.283,05
Tesouro Selic;01/03/2029;13/08/2025;18,0706;18,1906;2.294,61;2.292,32;2.294,61
Tesouro Selic;01/03/2029;14/08/2025;18,0765;18,1965;2.295,19;2.292,89;2.295,19
Tesouro Selic;01/03/2029;15/08/2025;18,1368;18,2568;2.301,05;2.298,75;2.301,05
Tesouro Selic;01/03/2029;18/08/2025;18,0985;18,2185;2.297,33;2.295,03;2.297,33
Tesouro Selic;01/03/2029;19/08/2025;18,2409;18,3609;2.311,21;2.308,90;2.311,21
Tesouro Selic;01/03/2029;20/08/2025;18,1164;18,2364;2.299,06;2.296,76;2.299,06
Tesouro Selic;01/03/2029;21/08/2025;17,9951;18,1151;2.287,28;2.284,99;2.287,28
Tesouro Selic;01/03/2029;22/08/2025;17,8851;18,0051;2.276,64;2.274,37;2.276,64
Tesouro Selic;01/03/2029;25/08/2025;17,9811;18,1011;2.285,93;2.283,64;2.285,93
Tesouro Selic;01/03/2029;26/08/2025;17,8535;17,9735;2.273,60;2.271,32;2.273,60
Tesouro Selic;01/03/2029;27/08/2025;17,8739;17,9939;2.275,56;2.273,28;2.275,56
Tesouro Selic;01/03/2029;28/08/2025;17,8544;17,9744;2.273,68;2.271,40;2.273,68
Tesouro Selic;01/03/2029;29/08/2025;17,9937;18,1137;2.287,14;2.284,86;2.287,14
Tesouro Selic;01/03/2029;01/09/2025;17,9147;18,0347;2.279,50;2.277,22;2.279,50
Tesouro Selic;01/03/2029;02/09/2025;17,8430;17,9630;2.272,58;2.270,30;2.272,58
Tesouro Selic;01/03/2029;03/09/2025;17,7875;17,9075;2.267,23;2.264,96;2.267,23
Tesouro Selic;01/03/2029;04/09/2025;17,8777;17,9977;2.275,93;2.273,65;2.275,93
Tesouro Selic;01/03/2029;05/09/2025;17,9379;18,0579;2.281,75;2.279,47;2.281,75
Tesouro Selic;01/03/2029;08/09/2025;18,0086;18,1286;2.288,59;2.286,30;2.288,59
Tesouro Selic;01/03/2029;09/09/2025;17,9540;18,0740;2.283,30;2.281,02;2.283,30
Tesouro Selic;01/03/2029;10/09/2025;17,8856;18,0056;2.276,69;2.274,41;2.276,69
Tesouro Selic;01/03/2029;11/09/2025;17,7580;17,8780;2.264,39;2.262,13;2.264,39
Tesouro Selic;01/03/2029;12/09/2025;17,6688;17,7888;2.255,83;2.253,57;2.255,83
Tesouro Selic;01/03/2029;15/09/2025;17,7528;17,8728;2.263,89;2.261,63;2.263,89
Tesouro Selic;01/03/2029;16/09/2025;17,7782;17,8982;2.266,33;2.264,07;2.266,33
Tesouro Selic;01/03/2029;17/09/2025;17,6748;17,7948;2.256,41;2.254,15;2.256,41
Tesouro Selic;01/03/2029;18/09/2025;17,5741;17,6941;2.246,77;2.244,52;2.246,77
Tesouro Selic;01/03/2029;19/09/2025;17,5639;17,6839;2.245,80;2.243,55;2.245,80
Tesouro Selic;01/03/2029;22/09/2025;17,5359;17,6559;2.243,12;2.240,88;2.243,12
Tesouro Selic;01/03/2029;23/09/2025;17,5467;17,6667;2.244,15;2.241,90;2.244,15
Tesouro Selic;01/03/2029;24/09/2025;17,6860;17,8060;2.257,48;2.255,23;2.257,48
Tesouro Selic;01/03/2029;25/09/2025;17,5983;17,7183;2.249,09;2.246,84;2.249,09
Tesouro Selic;01/03/2029;26/09/2025;17,5408;17,6608;2.243,59;2.241,35;2.243,59
Tesouro Selic;01/03/2029;29/09/2025;17,4703;17,5903;2.236,87;2.234,63;2.236,87
Tesouro Selic;01/03/2029;30/09/2025;17,3563;17,4763;2.226,04;2.223,81;2.226,04
Tesouro Selic;01/03/2029;01/10/2025;17,2536;17,3736;2.216,31;2.214,09;2.216,31
Tesouro Selic;01/03/2029;02/10/2025;17,3094;17,4294;2.221,59;2.219,37;2.221,59
Tesouro Selic;01/03/2029;03/10/2025;17,4073;17,5273;2.230,88;2.228,65;2.230,88
Tesouro Selic;01/03/2029;06/10/2025;17,4664;17,5864;2.236,50;2.234,26;2.236,50
Tesouro Selic;01/03/2029;07/10/2025;17,3285;17,4485;2.223,40;2.221,18;2.223,40
Tesouro Selic;01/03/2029;08/10/2025;17,4293;17,5493;2.232,96;2.230,73;2.232,96
Tesouro Selic;01/03/2029;09/10/2025;17,3776;17,4976;2.228,06;2.225,83;2.228,06
Tesouro Selic;01/03/2029;10/10/2025;17,2550;17,3750;2.216,44;2.214,22;2.216,44
Tesouro Selic;01/03/2029;13/10/2025;17,1794;17,2994;2.209,31;2.207,10;2.209,31
Tesouro Selic;01/03/2029;14/10/2025;17,1362;17,2562;2.205,23;2.203,03;2.205,23
Tesouro Selic;01/03/2029;15/10/2025;17,1402;17,2602;2.205,61;2.203,41;2.205,61
Tesouro Selic;01/03/2029;16/10/2025;17,1933;17,3133;2.210,62;2.208,41;2.210,62
Tesouro Selic;01/03/2029;17/10/2025;17,1214;17,2414;2.203,85;2.201,64;2.203,85
Tesouro Selic;01/03/2029;20/10/2025;17,2686;17,3886;2.217,73;2.215,51;2.217,73
Tesouro Selic;01/03/2029;21/10/2025;17,1279;17,2479;2.204,46;2.202,26;2.204,46
Tesouro Selic;01/03/2029;22/10/2025;17,0992;17,2192;2.201,76;2.199,56;2.201,76
Tesouro Selic;01/03/2029;23/10/2025;17,0849;17,2049;2.200,41;2.198,21;2.200,41
Tesouro Selic;01/03/2029;24/10/2025;17,1593;17,2793;2.207,42;2.205,21;2.207,42
Tesouro Selic;01/03/2029;27/10/2025;17,0843;17,2043;2.200,36;2.198,16;2.200,36
Tesouro Selic;01/03/2029;28/10/2025;17,0729;17,1929;2.199,29;2.197,09;2.199,29
Tesouro Selic;01/03/2029;29/10/2025;17,1641;17,2841;2.207,86;2.205,66;2.207,86
Tesouro Selic;01/03/2029;30/10/2025;17,0560;17,1760;2.197,70;2.195,50;2.197,70
Tesouro Selic;01/03/2029;31/10/2025;16,9096;17,0296;2.183,99;2.181,81;2.183,99
Tesouro Selic;01/03/2029;03/11/2025;17,0087;17,1287;2.193,26;2.191,07;2.193,26
Tesouro Selic;01/03/2029;04/11/2025;17,1535;17,2735;2.206,87;2.204,66;2.206,87
Tesouro Selic;01/03/2029;05/11/2025;17,0427;17,1627;2.196,45;2.194,25;2.196,45
Tesouro Selic;01/03/2029;06/11/2025;17,1398;17,2598;2.205,58;2.203,37;2.205,58
Tesouro Selic;01/03/2029;07/11/2025;17,1015;17,2215;2.201,97;2.199,77;2.201,97
Tesouro Selic;01/03/2029;10/11/2025;17,1405;17,2605;2.205,65;2.203,44;2.205,65
Tesouro Selic;01/03/2029;11/11/2025;17,1840;17,3040;2.209,74;2.207,53;2.209,74
Tesouro Selic;01/03/2029;12/11/2025;17,2087;17,3287;2.212,07;2.209,86;2.212,07
Tesouro Selic;01/03/2029;13/11/2025;17,1363;17,2563;2.205,25;2.203,04;2.205,25
Tesouro Selic;01/03/2029;14/11/2025;17,2301;17,3501;2.214,09;2.211,88;2.214,09
Tesouro Selic;01/03/2029;17/11/2025;17,0867;17,2067;2.200,58;2.198,38;2.200,58
Tesouro Selic;01/03/2029;18/11/2025;16,9560;17,0760;2.188,33;2.186,14;2.188,33
Tesouro Selic;01/03/2029;19/11/2025;17,0768;17,1968;2.199,65;2.197,45;2.199,65
Tesouro Selic;01/03/2029;20/11/2025;17,0598;17,1798;2.198,05;2.195,86;2.198,05
Tesouro Selic;01/03/2029;21/11/2025;16,9484;17,0684;2.187,62;2.185,43;2.187,62
Tesouro Selic;01/03/2029;24/11/2025;17,0699;17,1899;2.199,01;2.196,81;2.199,01
Tesouro Selic;01/03/2029;25/11/2025;17,1687;17,2887;2.208,30;2.206,10;2.208,30
Tesouro Selic;01/03/2029;26/11/2025;17,1182;17,2382;2.203,55;2.201,34;2.203,55
Tesouro Selic;01/03/2029;27/11/2025;16,9810;17,1010;2.190,67;2.188,48;2.190,67
Tesouro Selic;01/03/2029;28/11/2025;16,9693;17,0893;2.189,58;2.187,39;2.189,58
Tesouro Selic;01/03/2029;01/12/2025;16,8697;16,9897;2.180,27;2.178,09;2.180,27
Tesouro Selic;01/03/2029;02/12/2025;16,8919;17,0119;2.182,34;2.180,15;2.182,34
Tesouro Selic;01/03/2029;03/12/2025;16,9884;17,1084;2.191,36;2.189,17;2.191,36
Tesouro Selic;01/03/2029;04/12/2025;16,9569;17,0769;2.188,41;2.186,22;2.188,41
Tesouro Selic;01/03/2029;05/12/2025;16,8157;16,9357;2.175,24;2.173,06;2.175,24
Tesouro Selic;01/03/2029;08/12/2025;16,8707;16,9907;2.180,36;2.178,18;2.180,36
Tesouro Selic;01/03/2029;09/12/2025;16,7725;16,8925;2.171,22;2.169,05;2.171,22
Tesouro Selic;01/03/2029;10/12/2025;16,6870;16,8070;2.163,27;2.161,11;2.163,27
Tesouro Selic;01/03/2029;11/12/2025;16,5931;16,7131;2.154,59;2.152,43;2.154,59
Tesouro Selic;01/03/2029;12/12/2025;16,5271;16,6471;2.148,49;2.146,34;2.148,49
Tesouro Selic;01/03/2029;15/12/2025;16,6421;16,7621;2.159,12;2.156,96;2.159,12
Tesouro Selic;01/03/2029;16/12/2025;16,5025;16,6225;2.146,23;2.144,08;2.146,23
Tesouro Selic;01/03/2029;17/12/2025;16,5382;16,6582;2.149,52;2.147,37;2.149,52
Tesouro Selic;01/03/2029;18/12/2025;16,4620;16,5820;2.142,50;2.140,36;2.142,50
Tesouro Selic;01/03/2029;19/12/2025;16,4005;16,5205;2.136,85;2.134,71;2.136,85
Tesouro Selic;01/03/2029;22/12/2025;16,3741;16,4941;2.134,43;2.132,29;2.134,43
Tesouro Selic;01/03/2029;23/12/2025;16,3893;16,5093;2.135,82;2.133,69;2.135,82
Tesouro Selic;01/03/2029;24/12/2025;16,2576;16,3776;2.123,77;2.121,64;2.123,77
Tesouro Selic;01/03/2029;25/12/2025;16,1915;16,3115;2.117,74;2.115,62;2.117,74
Tesouro Selic;01/03/2029;26/12/2025;16,0827;16,2027;2.107,84;2.105,73;2.107,84
Tesouro Selic;01/03/2029;29/12/2025;15,9925;16,1125;2.099,67;2.097,57;2.099,67
Tesouro Selic;01/03/2029;30/12/2025;16,1079;16,2279;2.110,13;2.108,02;2.110,13
Tesouro Selic;01/03/2029;31/12/2025;16,1157;16,2357;2.110,83;2.108,72;2.110,83
Tesouro Selic;01/03/2029;01/01/2026;16,1549;16,2749;2.114,40;2.112,29;2.114,40
Tesouro Selic;01/03/2029;02/01/2026;16,2456;16,3656;2.122,67;2.120,54;2.122,67
Tesouro Selic;01/03/2029;05/01/2026;16,3340;16,4540;2.130,75;2.128,62;2.130,75
Tesouro Selic;01/03/2029;06/01/2026;16,4808;16,6008;2.144,23;2.142,09;2.144,23
Tesouro Selic;01/03/2029;07/01/2026;16,5654;16,6854;2.152,03;2.149,88;2.152,03
Tesouro Selic;01/03/2029;08/01/2026;16,5231;16,6431;2.148,13;2.145,98;2.148,13
Tesouro Selic;01/03/2029;09/01/2026;16,5365;16,6565;2.149,36;2.147,21;2.149,36
Tesouro Selic;01/03/2029;12/01/2026;16,5319;16,6519;2.148,94;2.146,79;2.148,94
Tesouro Selic;01/03/2029;13/01/2026;16,6557;16,7757;2.160,38;2.158,22;2.160,38
Tesouro Selic;01/03/2029;14/01/2026;16,6564;16,7764;2.160,44;2.158,28;2.160,44
Tesouro Selic;01/03/2029;15/01/2026;16,6229;16,7429;2.157,35;2.155,19;2.157,35
Tesouro Selic;01/03/2029;16/01/2026;16,5269;16,6469;2.148,48;2.146,33;2.148,48
Tesouro Selic;01/03/2029;19/01/2026;16,4725;16,5925;2.143,47;2.141,33;2.143,47
Tesouro Selic;01/03/2029;20/01/2026;16,3882;16,5082;2.135,73;2.133,59;2.135,73
Tesouro Selic;01/03/2029;21/01/2026;16,5070;16,6270;2.146,64;2.144,50;2.146,64
Tesouro Selic;01/03/2029;22/01/2026;16,5905;16,7105;2.154,35;2.152,20;2.154,35
Tesouro Selic;01/03/2029;23/01/2026;16,4581;16,5781;2.142,14;2.140,00;2.142,14
Tesouro Selic;01/03/2029;26/01/2026;16,6056;16,7256;2.155,74;2.153,58;2.155,74
Tesouro Selic;01/03/2029;27/01/2026;16,6144;16,7344;2.156,56;2.154,40;2.156,56
Tesouro Selic;01/03/2029;28/01/2026;16,6945;16,8145;2.163,97;2.161,81;2.163,97
Tesouro Selic;01/03/2029;29/01/2026;16,8443;16,9643;2.177,90;2.175,72;2.177,90
Tesouro Selic;01/03/2029;30/01/2026;16,9865;17,1065;2.191,19;2.189,00;2.191,19
Tesouro Selic;01/03/2029;02/02/2026;16,8666;16,9866;2.179,97;2.177,79;2.179,97
Tesouro Selic;01/03/2029;03/02/2026;16,9136;17,0336;2.184,37;2.182,18;2.184,37
Tesouro Selic;01/03/2029;04/02/2026;16,8436;16,9636;2.177,83;2.175,65;2.177,83
Tesouro Selic;01/03/2029;05/02/2026;16,9385;17,0585;2.186,69;2.184,50;2.186,69
Tesouro Selic;01/03/2029;06/02/2026;17,0637;17,1837;2.198,42;2.196,22;2.198,42
Tesouro Selic;01/03/2029;09/02/2026;16,9304;17,0504;2.185,94;2.183,75;2.185,94
Tesouro Selic;01/03/2029;10/02/2026;17,0793;17,1993;2.199,89;2.197,69;2.199,89
Tesouro Selic;01/03/2029;11/02/2026;16,9952;17,1152;2.192,00;2.189,80;2.192,00
Tesouro Selic;01/03/2029;12/02/2026;17,0991;17,2191;2.201,75;2.199,55;2.201,75
Tesouro Selic;01/03/2029;13/02/2026;17,1883;17,3083;2.210,15;2.207,94;2.210,15
Tesouro Selic;01/03/2029;16/02/2026;17,1448;17,2648;2.206,05;2.203,84;2.206,05
Tesouro Selic;01/03/2029;17/02/2026;17,2465;17,3665;2.215,65;2.213,43;2.215,65
Tesouro Selic;01/03/2029;18/02/2026;17,3501;17,4701;2.225,45;2.223,22;2.225,45
Tesouro Selic;01/03/2029;19/02/2026;17,2529;17,3729;2.216,25;2.214,03;2.216,25
Tesouro Selic;01/03/2029;20/02/2026;17,2807;17,4007;2.218,87;2.216,66;2.218,87
Tesouro Selic;01/03/2029;23/02/2026;17,3726;17,4926;2.227,58;2.225,35;2.227,58
Tesouro Selic;01/03/2029;24/02/2026;17,4318;17,5518;2.233,21;2.230,98;2.233,21
Tesouro Selic;01/03/2029;25/02/2026;17,5560;17,6760;2.245,04;2.242,80;2.245,04
Tesouro Selic;01/03/2029;26/02/2026;17,4145;17,5345;2.231,56;2.229,33;2.231,56
